,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
35,5153301050165387,1700720163,25年04月09日 10:05,"看来买家这凶宅必须得住了，不住就是不厚道<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />。然后买家卖也卖不脱了，因为凶宅也没多少人愿意买。出于好意让原房东返租，好好的房子变成凶宅，请问买家在这个过程中有什么过错呢？",来自四川,5153460974785855,1,看来买家这凶宅必须得住了，不住就是不厚道[666]。然后买家卖也卖不脱了，因为凶宅也没多少人愿意买。出于好意让原房东返租，好好的房子变成凶宅，请问买家在这个过程中有什么过错呢？,5336731963,Spear_F,https://weibo.com/u/5336731963,就这么喜欢PvP？书看了么？国家统一么？干点正事吧～,北京,m,37,33,469,10,0,48,58,
36,5153301050165387,1700720163,25年04月09日 09:59,"回复<a href=/n/小leo小六1313113 usercard=""name=@小leo小六1313113"">@小leo小六1313113</a>:打错了，卖家败诉",来自河北,5153459533514094,0,回复@小leo小六1313113:打错了，卖家败诉,3094510840,九九回来呀,https://weibo.com/u/3094510840,你在红楼，我在西游。,北京 西城区,f,124,84,208,251,10,290,551,
37,5153301050165387,1700720163,25年04月09日 09:58,"回复<a href=/n/小leo小六1313113 usercard=""name=@小leo小六1313113"">@小leo小六1313113</a>:一审不是已经判了买家败诉么… 但你说花钱买凶宅这事搁谁谁也不乐意，但买家也确实有点不地道，该享受的福利都使用过了",来自河北,5153459294176423,0,回复@小leo小六1313113:一审不是已经判了买家败诉么… 但你说花钱买凶宅这事搁谁谁也不乐意，但买家也确实有点不地道，该享受的福利都使用过了,3094510840,九九回来呀,https://weibo.com/u/3094510840,你在红楼，我在西游。,北京 西城区,f,124,84,208,251,10,290,551,
38,5153301050165387,1700720163,25年04月09日 09:40,"回复<a href=/n/妖不坏 usercard=""name=@妖不坏"">@妖不坏</a>:那也应该按照租客在房租内死亡来认定吧，已经不是原房主了。反正这个事感觉两边都很惨<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />自杀的娃才是最可怜的",来自湖北,5153454734442706,0,回复@妖不坏:那也应该按照租客在房租内死亡来认定吧，已经不是原房主了。反正这个事感觉两边都很惨[允悲]自杀的娃才是最可怜的,2449246595,On1y-J,https://weibo.com/u/2449246595,态度就是答案。,湖北 襄阳,f,292,484,175,199,10,50,259,
39,5153301050165387,1700720163,25年04月09日 09:37,义务和责任是对等的，房屋出租本来就会面临一些风险，遇到自鲨这种事谁都不想的。就算不租给原房东，租给别人也难保没有其他事发生。总不能哪个租客在屋里出了事，房东就让哪个租客把房子按原价买下来，也这太说不过去了。 没出事前享受学区和户口，一出事这房子不要了，原价退掉，白纸黑字是干嘛的。,来自四川,5153454130987365,1,义务和责任是对等的，房屋出租本来就会面临一些风险，遇到自鲨这种事谁都不想的。就算不租给原房东，租给别人也难保没有其他事发生。总不能哪个租客在屋里出了事，房东就让哪个租客把房子按原价买下来，也这太说不过去了。 没出事前享受学区和户口，一出事这房子不要了，原价退掉，白纸黑字是干嘛的。,5127364463,嗷呜一口猫猫宁,https://weibo.com/u/5127364463,仅代表自己，粉圈内除了罗云熙，哪方都不站。鲧站代拍滚滚滚。镇魂。,四川,f,1187,1235,27584,"78,060","6,485","98,433","182,978",娱乐博主 超话粉丝大咖（罗云熙超话）
40,5153301050165387,1700720163,25年04月09日 09:04,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:笑死，那就按法律来呗，现在法院就是判退房，你觉得不服气就等二诉呗，反正你已经偏向这么明显了，我还能说什么呢<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自江苏,5153445704897001,1,回复@三坏通讯录:笑死，那就按法律来呗，现在法院就是判退房，你觉得不服气就等二诉呗，反正你已经偏向这么明显了，我还能说什么呢[笑cry],7741837152,果子哈啊哈,https://weibo.com/u/7741837152,,其他,m,40,219,8,3,0,5,8,
41,5153301050165387,1700720163,25年04月09日 08:44,"回复<a href=/n/九九回来呀 usercard=""name=@九九回来呀"">@九九回来呀</a>:这事最终的结局很可能就是卖家人财两失，买家最后亏了良心拿回了钱。",来自天津,5153440767674694,2,回复@九九回来呀:这事最终的结局很可能就是卖家人财两失，买家最后亏了良心拿回了钱。,7815187622,小leo小六1313113,https://weibo.com/u/7815187622,心平可愈三千疾,天津 河北区,m,77,527,3041,69,52,123,244,
42,5153301050165387,1700720163,25年04月09日 08:44,"回复<a href=/n/天父天兄天王命我来清妖 usercard=""name=@天父天兄天王命我来清妖"">@天父天兄天王命我来清妖</a>:是的，我一想到这么大的事，他没有告知买家，也没有任何补偿措施和想处理的态度，我就更倾向于支持买家，这次的结果没啥问题，说明老天爷都在帮这个买家。",来自新疆,5153440699778770,1,回复@天父天兄天王命我来清妖:是的，我一想到这么大的事，他没有告知买家，也没有任何补偿措施和想处理的态度，我就更倾向于支持买家，这次的结果没啥问题，说明老天爷都在帮这个买家。,1973419241,请注意你跟我说话的口气,https://weibo.com/u/1973419241,无粉籍，硬要说粉籍，那好看的我都粉٩(๑^o^๑)۶,其他,f,206,228,6155,171,39,181,391,
43,5153301050165387,1700720163,25年04月09日 08:42,"回复<a href=/n/天父天兄天王命我来清妖 usercard=""name=@天父天兄天王命我来清妖"">@天父天兄天王命我来清妖</a>:其实就是当初图省事直接房租抵房款了。双方自己心里都知道怎么回事。房价涨了，卖家接着卖了也就无所谓，现在房价降了才有这种事情。",来自天津,5153440284803105,1,回复@天父天兄天王命我来清妖:其实就是当初图省事直接房租抵房款了。双方自己心里都知道怎么回事。房价涨了，卖家接着卖了也就无所谓，现在房价降了才有这种事情。,7815187622,小leo小六1313113,https://weibo.com/u/7815187622,心平可愈三千疾,天津 河北区,m,77,527,3041,69,52,123,244,
44,5153301050165387,1700720163,25年04月09日 08:33,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:因为孩子是在别人家死的<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自广东,5153437814622044,1,回复@三坏通讯录:因为孩子是在别人家死的[微笑],5672193244,好好06295,https://weibo.com/u/5672193244,,其他,f,28,184,43,19,1,33,53,
45,5153301050165387,1700720163,25年04月09日 08:30,"回复<a href=/n/喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜 usercard=""name=@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜"">@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜</a>:说租赁要拿出租赁合同的呀，但是双方没签租赁合同，而买卖合同上明确约定了延期一年交房。交付没完成，风险就没转移。不动产的所有权和风险时独立转移的，所以法院判的没问题。",来自上海,5153437156639585,1,回复@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜:说租赁要拿出租赁合同的呀，但是双方没签租赁合同，而买卖合同上明确约定了延期一年交房。交付没完成，风险就没转移。不动产的所有权和风险时独立转移的，所以法院判的没问题。,7894738903,Kazumaaaaa,https://weibo.com/u/7894738903,,上海,m,113,340,4,1,0,3,4,
46,5153301050165387,1700720163,25年04月09日 08:28,"回复<a href=/n/喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜 usercard=""name=@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜"">@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜</a>:这是法律规定，算不上背刺。民法规定了不动产风险转移以交付为准。交付之前风险由卖家承担。所以房产买卖合同上都有两个条款，一个是约定登记过户日期，一个是约定交付日期，就是因为所有权和风险的转移是不一样的。他们肯定是房产合同上约好了延期交房，那风险由卖方承担没问题。自己的选择",来自上海,5153436728558005,0,回复@喵呜喵呜喵呜呜呜呜呜呜呜呜呜呜:这是法律规定，算不上背刺。民法规定了不动产风险转移以交付为准。交付之前风险由卖家承担。所以房产买卖合同上都有两个条款，一个是约定登记过户日期，一个是约定交付日期，就是因为所有权和风险的转移是不一样的。他们肯定是房产合同上约好了延期交房，那风险由卖方承担没问题。自己的选择,7894738903,Kazumaaaaa,https://weibo.com/u/7894738903,,上海,m,113,340,4,1,0,3,4,
